Model Name,Matching Word,Downloads,created_at,last_modified,contains_paper,paper_code,paper_code_clean,is_industry,is_valid,has_duplicate
Salesforce/codet5p-110m-embedding,codegen,314358,2023-07-18 9:52:49,2023-07-18 9:52:49,TRUE,Generation](https://arxiv.org/pdf/2305.07922.pdf),https://arxiv.org/pdf/2305.07922,TRUE,,TRUE
microsoft/Phi-3.5-mini-instruct,code generation,368764,2024-08-16 20:48:26,2024-08-16 20:48:26,TRUE,Report](https://arxiv.org/abs/2404.14219),https://arxiv.org/abs/2404.14219,TRUE,TRUE,TRUE
unsloth/Phi-3.5-mini-instruct-bnb-4bit,code generation,62430,2024-08-20 23:29:36,2024-08-20 23:29:36,TRUE,Report](https://arxiv.org/abs/2404.14219),https://arxiv.org/abs/2404.14219,TRUE,,TRUE
microsoft/Phi-3.5-MoE-instruct,code generation,44775,2024-08-17 21:34:19,2024-08-17 21:34:19,TRUE,Report](https://arxiv.org/abs/2404.14219),https://arxiv.org/abs/2404.14219,TRUE,TRUE,TRUE
NousResearch/Hermes-3-Llama-3.1-8B,code generation,44650,2024-07-28 6:00:57,2024-07-28 6:00:57,TRUE,Report**](https://arxiv.org/abs/2408.11857).,https://arxiv.org/abs/2408.11857,TRUE,TRUE,TRUE
smallcloudai/Refact-1_6B-fim,codegen,36258,2023-08-29 15:48:36,2023-08-29 15:48:36,TRUE,arxiv,,,TRUE,TRUE
nvidia/Mistral-NeMo-Minitron-8B-Base,code generation,17591,2024-08-19 21:39:52,2024-08-19 21:39:52,TRUE,report](https://arxiv.org/abs/2408.11796),https://arxiv.org/abs/2408.11796,TRUE,TRUE,TRUE
m-a-p/OpenCodeInterpreter-DS-6.7B,code generation,16728,2024-02-19 5:25:15,2024-02-19 5:25:15,TRUE,"Execution""](https://arxiv.org/abs/2402.14658)",https://arxiv.org/abs/2402.14658,,TRUE,TRUE
Salesforce/codet5p-220m-bimodal,codegen,16258,2023-07-19 13:39:52,2023-07-19 13:39:52,TRUE,Generation](https://arxiv.org/pdf/2305.07922.pdf),https://arxiv.org/pdf/2305.07922,TRUE,,TRUE
unsloth/Phi-3.5-mini-instruct,code generation,14136,2024-08-20 20:19:32,2024-08-20 20:19:32,TRUE,Report](https://arxiv.org/abs/2404.14219),https://arxiv.org/abs/2404.14219,TRUE,TRUE,TRUE
NousResearch/Hermes-3-Llama-3.1-8B-GGUF,code generation,12701,2024-08-05 4:56:41,2024-08-05 4:56:41,TRUE,Report**](https://arxiv.org/abs/2408.11857).,https://arxiv.org/abs/2408.11857,TRUE,,TRUE
Salesforce/codet5p-220m,code generation,9546,2023-05-13 10:34:57,2023-05-13 10:34:57,TRUE,Generation](https://arxiv.org/pdf/2305.07922.pdf),https://arxiv.org/pdf/2305.07922,TRUE,,TRUE
NousResearch/Hermes-3-Llama-3.1-70B,code generation,7473,2024-07-29 14:27:57,2024-07-29 14:27:57,TRUE,Report**](https://arxiv.org/abs/2408.11857).,https://arxiv.org/abs/2408.11857,TRUE,TRUE,TRUE
Deci/DeciCoder-1b,code generation,7254,2023-08-16 14:52:10,2023-08-16 14:52:10,TRUE,2023](https://arxiv.org/abs/2305.13245),https://arxiv.org/abs/2305.13245,,TRUE,
tokyotech-llm/Llama-3-Swallow-8B-v0.1,code generation,6842,2024-05-20 6:36:00,2024-05-20 6:36:00,TRUE,Corpus](https://arxiv.org/abs/2404.17733),https://arxiv.org/abs/2404.17733,,TRUE,TRUE
Salesforce/codet5p-770m,code generation,6431,2023-05-13 13:34:17,2023-05-13 13:34:17,TRUE,Generation](https://arxiv.org/pdf/2305.07922.pdf),https://arxiv.org/pdf/2305.07922,TRUE,,TRUE
ibm-granite/granite-3b-code-base-2k,code generation,5674,2024-04-23 3:59:34,2024-04-23 3:59:34,TRUE,Intelligence](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324,TRUE,TRUE,TRUE
ibm-granite/granite-20b-code-base-8k,code generation,5412,2024-04-21 7:49:56,2024-04-21 7:49:56,TRUE,Intelligence](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324,TRUE,TRUE,TRUE
QuantFactory/Phi-3.5-mini-instruct-GGUF,code generation,5018,2024-08-21 1:19:18,2024-08-21 1:19:18,TRUE,Report](https://arxiv.org/abs/2404.14219),https://arxiv.org/abs/2404.14219,,,TRUE
NousResearch/Hermes-3-Llama-3.1-405B-FP8,code generation,4782,2024-08-13 1:21:28,2024-08-13 1:21:28,TRUE,Report**](https://arxiv.org/abs/2408.11857).,https://arxiv.org/abs/2408.11857,TRUE,,TRUE
ibm-granite/granite-8b-code-base-4k,code generation,4595,2024-04-21 7:50:41,2024-04-21 7:50:41,TRUE,Intelligence](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324,TRUE,TRUE,TRUE
NousResearch/Hermes-3-Llama-3.1-70B-GGUF,code generation,4440,2024-08-06 0:51:45,2024-08-06 0:51:45,TRUE,Report**](https://arxiv.org/abs/2408.11857).,https://arxiv.org/abs/2408.11857,TRUE,,TRUE
NousResearch/Hermes-3-Llama-3.1-405B,code generation,4012,2024-08-13 4:57:53,2024-08-13 4:57:53,TRUE,Report**](https://arxiv.org/abs/2408.11857).,https://arxiv.org/abs/2408.11857,TRUE,TRUE,TRUE
RichardErkhov/nvidia_-_Mistral-NeMo-Minitron-8B-Base-gguf,code generation,3821,2024-08-22 20:35:50,2024-08-22 20:35:50,TRUE,report](https://arxiv.org/abs/2408.11796),https://arxiv.org/abs/2408.11796,,,TRUE
TheBloke/tulu-7B-fp16,code generation,3640,2023-06-10 23:49:12,2023-06-10 23:49:12,TRUE,Resources](https://arxiv.org/abs/2306.04751).,https://arxiv.org/abs/2306.04751,,TRUE,TRUE
ibm-granite/granite-8b-code-instruct-128k,code generation,3462,2024-07-12 16:47:49,2024-07-12 16:47:49,TRUE,Context](https://arxiv.org/abs/2407.13739),https://arxiv.org/abs/2407.13739,TRUE,TRUE,TRUE
ibm/PowerLM-3b,code generation,3471,2024-08-14 18:20:58,2024-08-14 18:20:58,TRUE,https://arxiv.org/abs/2408.13359,https://arxiv.org/abs/2408.13359,TRUE,TRUE,
ibm-granite/granite-34b-code-base-8k,code generation,3033,2024-04-21 7:51:00,2024-04-21 7:51:00,TRUE,Intelligence](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324,TRUE,TRUE,TRUE
bigcode/starencoder,code generation,2868,2023-03-13 14:59:15,2023-03-13 14:59:15,TRUE,[BERT](https://arxiv.org/abs/1810.04805).,https://arxiv.org/abs/1810.04805,,TRUE,
Salesforce/codet5p-770m-py,code generation,2730,2023-05-15 9:57:01,2023-05-15 9:57:01,TRUE,Generation](https://arxiv.org/pdf/2305.07922.pdf),https://arxiv.org/pdf/2305.07922,TRUE,,TRUE
WizardLMTeam/WizardCoder-15B-V1.0,codegen,2674,2023-06-14 10:43:19,2023-06-14 10:43:19,TRUE,"href=""https://arxiv.org/abs/2304.12244""",https://arxiv.org/abs/2304.12244,,TRUE,TRUE
IntervitensInc/Llama-3.1-Minitron-4B-Width-Base-chatml,code generation,2642,2024-08-20 21:50:19,2024-08-20 21:50:19,TRUE,Understanding](https://arxiv.org/abs/2009.03300):,https://arxiv.org/abs/2009.03300,,TRUE,
